event_id,batch,track_name,beat_start,beat_duration,bar_index,section,source_row_start,source_row_end,pitch_midi,pitch_name,velocity,channel,program,scale,register_signal,motion_signal,direction_signal,direction_local_average,direction,scale_steps,tension_signal,growth_mass,leaf_energy,root_energy,vitality,growth_speed
56,R1,R1_marimba,102.0,0.2856734249411853,26,growth,10200,10299,36,C2,58,0,12,D dorian,0.4348762524561401,0.9921221503222596,0.32836712470592644,0.35111404687972475,-1,5,0.5192014466066267,0.32836712470592644,0.4348762524561401,0.5192014466066267,0.26664159511603397,0.9921221503222596
261,R2,R2_harp,102.0,0.293386849320927,26,growth,10200,10299,55,G3,73,1,46,D dorian,0.4044350872111986,1.0,0.36693424660463503,0.42863924122037284,-1,9,0.5273775121820442,0.36693424660463503,0.4044350872111986,0.5273775121820442,0.4446331618783514,1.0
57,R1,R1_marimba,102.5,0.2856734249411853,26,growth,10200,10299,36,C2,58,0,12,D dorian,0.4348762524561401,0.9921221503222596,0.32836712470592644,0.35111404687972475,-1,9,0.5192014466066267,0.32836712470592644,0.4348762524561401,0.5192014466066267,0.26664159511603397,0.9921221503222596
262,R2,R2_harp,102.5,0.293386849320927,26,growth,10200,10299,55,G3,73,1,46,D dorian,0.4044350872111986,1.0,0.36693424660463503,0.42863924122037284,-1,9,0.5273775121820442,0.36693424660463503,0.4044350872111986,0.5273775121820442,0.4446331618783514,1.0
58,R1,R1_marimba,102.75,0.2856734249411853,26,growth,10200,10299,36,C2,58,0,12,D dorian,0.4348762524561401,0.9921221503222596,0.32836712470592644,0.35111404687972475,-1,9,0.5192014466066267,0.32836712470592644,0.4348762524561401,0.5192014466066267,0.26664159511603397,0.9921221503222596
263,R2,R2_harp,102.75,0.293386849320927,26,growth,10200,10299,55,G3,73,1,46,D dorian,0.4044350872111986,1.0,0.36693424660463503,0.42863924122037284,-1,5,0.5273775121820442,0.36693424660463503,0.4044350872111986,0.5273775121820442,0.4446331618783514,1.0
463,R3,R3_celesta,104.0,1.5,27,growth,10400,10499,88,E6,80,2,8,D dorian,0.5545986913449731,0.005028599191118061,0.7766841537094364,0.7753804585209348,1,2,0.7688150108698016,0.7766841537094364,0.5545986913449731,0.7688150108698016,0.5184996449966933,0.005028599191118061
59,R1,R1_marimba,105.0,1.0,27,growth,10500,10599,41,F2,58,0,12,D dorian,0.43521069221167574,0.004491311919235192,0.32947508814660315,0.3273159771137463,1,2,0.5192207096745814,0.32947508814660315,0.43521069221167574,0.5192207096745814,0.26668555060610144,0.004491311919235192
60,R1,R1_marimba,106.0,1.0,27,growth,10600,10699,40,E2,58,0,12,D dorian,0.4352900144281797,0.020824503990818106,0.3262747613783723,0.32749161773907526,-1,2,0.5193616447151705,0.3262747613783723,0.4352900144281797,0.5193616447151705,0.26665719954926104,0.020824503990818106
264,R2,R2_harp,106.0,1.0,27,growth,10600,10699,60,C4,73,1,46,D dorian,0.40453965993875757,0.007808572434808093,0.3661590718476493,0.3653467938465698,1,2,0.5273741754414489,0.3661590718476493,0.40453965993875757,0.5273741754414489,0.4446567451244794,0.007808572434808093
