batch,beat_start,beat_duration,pitch_midi,velocity,section
R1,113.0,1.0,62,58,growth
R3,113.0,1.5,69,71,growth
R2,115.0,1.0,65,67,growth
R3,115.0,1.5,67,71,growth
R2,116.0,1.0,69,67,growth
R2,117.0,1.0,65,67,growth
R3,117.0,1.5,74,71,growth
R1,118.0,1.0,57,58,growth
R3,118.0,1.5,69,71,growth
R1,119.0,1.0,65,58,growth
R1,120.0,1.0,60,58,growth
R2,120.0,1.0,69,67,growth
R3,120.0,1.5,77,71,growth
R1,121.0,1.0,57,58,growth
R3,121.0,1.5,67,71,growth
R2,122.0,1.0,65,67,growth
R3,122.0,1.5,67,71,growth
R2,123.0,1.0,65,67,growth
R3,123.0,1.5,65,71,growth
R3,124.0,1.5,72,71,growth
R3,125.0,1.5,79,71,growth
R1,126.0,1.0,57,58,growth
R3,126.0,1.5,81,71,growth
R1,127.0,1.0,62,58,growth
R2,127.0,1.0,69,67,growth
R1,128.0,1.0,65,58,growth
R3,128.0,1.5,72,71,growth
R1,129.0,1.0,60,58,growth
R2,129.0,1.0,65,67,growth
R2,130.0,1.0,65,67,growth
R1,131.0,1.0,65,58,growth
R2,131.0,1.0,65,67,growth
R3,131.0,1.5,69,71,growth
R1,132.0,1.0,65,58,growth
R3,132.0,1.5,77,71,growth
R1,133.0,1.0,57,58,growth
R2,133.0,1.0,69,67,growth
R3,133.0,1.5,69,71,growth
R1,134.0,1.0,62,58,growth
R2,134.0,1.0,69,67,growth
R3,134.0,1.5,77,71,growth
R2,135.0,1.0,65,67,growth
R3,135.0,1.5,79,71,growth
R1,136.0,1.0,62,58,growth
R3,136.0,1.5,81,71,growth
R1,137.0,1.0,62,58,growth
R2,137.0,1.0,65,67,growth
R3,137.0,1.5,74,71,growth
R1,138.0,1.0,65,58,growth
R2,138.0,1.0,67,67,growth
R3,139.0,1.5,69,71,growth
R3,140.0,1.5,67,71,growth
R2,141.0,1.0,69,67,growth
R1,142.0,1.0,60,58,growth
R2,142.0,1.0,69,67,growth
R3,142.0,1.5,74,71,growth
R3,143.0,1.5,77,71,growth
R1,144.0,1.0,65,58,growth
R3,144.0,1.5,79,71,growth
R1,145.0,1.0,65,58,growth
R2,145.0,1.0,69,67,growth
R1,146.0,1.0,57,58,growth
R2,147.0,1.0,69,67,growth
R1,148.0,0.28522573163742004,50,58,growth
R2,148.0,0.9776619162033995,69,67,growth
R3,148.0,0.37489288974957435,84,71,growth
R1,148.5,0.28522573163742004,50,58,growth
R3,148.5,0.37489288974957435,84,71,growth
R1,148.75,0.28522573163742004,50,58,growth
R3,148.75,0.37489288974957435,84,71,growth
R1,149.0,0.28589249443027087,50,62,growth
R2,149.0,0.9773203941980333,72,65,growth
R3,149.0,0.3749265463130682,84,67,growth
R1,149.5,0.28589249443027087,50,62,growth
R3,149.5,0.3749265463130682,84,67,growth
R1,149.75,0.28589249443027087,50,62,growth
